gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
ctg247_8x_c_111	93889	94635	747	-1	0.581	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_112	94655	99925	5271	-1	0.597	11	GGAG/GAGG	GENOMAD.000711.PP	1.292e-52	208	0	1	0	1	NA	MOBF	NA	TIGR02760	conjugative transfer relaxase protein TraI
ctg247_8x_c_113	99925	102132	2208	-1	0.526	11	GGA/GAG/AGG	GENOMAD.027654.PP	3.524e-28	125	0	0	0	1	NA	NA	NA	PF12615	F sex factor protein N terminal
ctg247_8x_c_114	102414	103025	612	-1	0.342	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_115	103097	103828	732	-1	0.492	11	AGGA	GENOMAD.105733.PC	3.109e-44	163	0	0	0	1	NA	NA	NA	PF05818	Enterobacterial TraT complement resistance protein
ctg247_8x_c_116	103877	104356	480	-1	0.375	11	GGAG/GAGG	GENOMAD.005195.PP	6.296e-60	204	0	1	0	1	NA	NA	NA	PF10624	Plasmid conjugative transfer entry exclusion protein TraS
ctg247_8x_c_117	104378	107200	2823	-1	0.505	11	GGAGG	GENOMAD.085298.PC	5.031e-223	716	0	1	0	1	NA	F_traG	NA	PF07916;TIGR03782	Bacteroides conjugative transposon TraJ protein
ctg247_8x_c_118	107197	107931	735	-1	0.514	11	AGGA	GENOMAD.092909.PC	1.011e-77	260	0	1	0	1	NA	F_traH	NA	K12072	NA
ctg247_8x_c_119	107925	108572	648	-1	0.537	11	GGAGG	GENOMAD.092909.PC	1.01e-72	244	0	1	0	1	NA	F_traH	NA	K12072	NA
ctg247_8x_c_120	108559	108954	396	-1	0.414	11	GGAG/GAGG	GENOMAD.002186.PP	7.897e-69	228	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_121	108932	109219	288	-1	0.441	11	GGAG/GAGG	GENOMAD.004623.PP	6.818e-53	180	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_122	109209	109754	546	-1	0.553	11	AGGAG	GENOMAD.000735.PP	8.638e-41	150	0	1	0	1	NA	NA	NA	PF14595;TIGR02738;COG2143	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
ctg247_8x_c_123	109741	110025	285	-1	0.523	11	GGAG/GAGG	GENOMAD.001287.PP	1.601e-51	176	0	1	0	1	NA	NA	NA	PF09679;TIGR02741	type-F conjugative transfer system pilin chaperone TraQ
ctg247_8x_c_124	110152	110490	339	-1	0.389	11	GGA/GAG/AGG	GENOMAD.006498.PP	4.7e-65	216	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_125	110506	111249	744	-1	0.520	11	AGGA	GENOMAD.089781.PC	1.134e-38	147	0	1	0	1	NA	F_traF	NA	K12057	NA
ctg247_8x_c_126	111242	111499	258	-1	0.407	11	GGxGG	GENOMAD.001581.PP	5.748e-42	148	0	1	0	1	NA	NA	NA	PF11100	Conjugal transfer protein TrbE
ctg247_8x_c_127	111526	113376	1851	-1	0.529	11	AGGAG	GENOMAD.082259.PC	8.608e-40	161	0	1	0	1	NA	F_traN	NA	PF06986;PF09673;TIGR02750;K12058	type-F conjugative transfer system mating-pair stabilization protein TraN
ctg247_8x_c_128	113373	114011	639	-1	0.548	11	GGA/GAG/AGG	GENOMAD.089737.PC	3.018e-12	68	0	1	0	1	NA	NA	NA	PF09673;TIGR02742	type-F conjugative transfer system pilin assembly protein TrbC
ctg247_8x_c_129	114020	114325	306	-1	0.353	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_130	114355	115347	993	-1	0.552	11	AGGAG	GENOMAD.093442.PC	6.322e-187	580	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
ctg247_8x_c_131	115344	115976	633	-1	0.594	11	GGA/GAG/AGG	GENOMAD.092544.PC	3.036e-28	115	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
ctg247_8x_c_132	115973	116359	387	-1	0.563	11	AGGAG	GENOMAD.001747.PP	3.9e-34	128	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	type-F conjugative transfer system protein TrbI
ctg247_8x_c_133	116356	118983	2628	-1	0.543	11	AGGA	GENOMAD.100869.PC	4.207e-38	158	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
ctg247_8x_c_134	119046	119150	105	-1	0.390	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_135	119143	119364	222	-1	0.437	11	GGAGG	GENOMAD.106883.VV	0.0001681	40	0	0	0	1	NA	NA	NA	PF01258	Prokaryotic dksA/traR C4-type zinc finger
ctg247_8x_c_136	119499	120014	516	-1	0.527	11	AGGAG	GENOMAD.049745.PP	1.525e-89	290	0	1	0	1	NA	F_traV	NA	PF04202;TIGR02747;COG5510	type IV conjugative transfer system lipoprotein TraV
ctg247_8x_c_137	120014	120373	360	-1	0.406	11	AGGA	GENOMAD.003400.PP	2.43e-67	223	0	0	0	1	NA	NA	NA	PF10894;PF13238;COG1618;TIGR00041	AAA domain
ctg247_8x_c_138	120312	120878	567	-1	0.499	11	AGGAG	GENOMAD.001818.PP	6.707e-107	341	0	1	0	1	NA	NA	NA	PF07296	TraP protein
ctg247_8x_c_139	120868	122304	1437	-1	0.581	11	None	GENOMAD.092696.PC	5.231e-46	177	0	1	0	1	NA	NA	NA	K12063	NA
s34.ctg000048c_1	1	1623	1623	1	0.555	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_2	2498	3586	1089	1	0.459	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_3	3628	4560	933	-1	0.493	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_4	4652	5149	498	-1	0.528	11	GGAG/GAGG	GENOMAD.211376.PC	5.142e-07	51	0	0	0	1	NA	NA	NA	PF06496	NA
s34.ctg000048c_5	5407	6012	606	1	0.454	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_6	6052	6915	864	1	0.471	11	None	GENOMAD.205321.PC	4.051e-153	480	0	0	0	1	NA	NA	NA	PF11392	NA
s34.ctg000048c_7	6905	8452	1548	1	0.556	11	GGAGG	GENOMAD.121278.CP	9.349e-113	375	0	0	0	1	NA	NA	NA	PF13607;PF00549;K02381;TIGR02717;COG0074	acetyl coenzyme A synthetase (ADP forming), alpha domain
s34.ctg000048c_8	8452	9870	1419	1	0.584	11	GGAGG	GENOMAD.179747.CP	9.498e-200	625	0	0	0	1	NA	NA	NA	PF06545	NA
s34.ctg000048c_9	9896	10216	321	1	0.576	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_10	10292	11242	951	1	0.562	11	GGA/GAG/AGG	GENOMAD.126878.CP	1.399e-99	327	0	0	0	1	NA	NA	NA	TIGR00746;COG0549;K00930	carbamate kinase
s34.ctg000048c_11	11252	12634	1383	1	0.563	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_12	13011	14060	1050	1	0.533	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_13	14303	15118	816	1	0.388	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_14	15531	15776	246	1	0.467	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_15	15793	16425	633	-1	0.506	11	GGA/GAG/AGG	GENOMAD.159816.CP	1.23e-06	51	0	0	0	1	NA	NA	NA	PF01810;K16327;COG1279;TIGR00949	Arginine exporter protein ArgO
s34.ctg000048c_16	16611	16886	276	1	0.388	11	GGAG/GAGG	GENOMAD.224334.VP	6.195e-21	88	0	0	0	1	NA	NA	NA	PF07338;K12151	YdgH/BhsA/McbA-like domain
s34.ctg000048c_17	16984	18570	1587	-1	0.552	11	None	GENOMAD.107047.CP	1.805e-05	50	0	0	0	1	NA	NA	NA	PF06506;PF14532;K02688;TIGR02329;COG3829	propionate catabolism operon regulatory protein PrpR
s34.ctg000048c_18	18809	19699	891	1	0.561	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_19	19645	20091	447	-1	0.564	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_20	20139	21308	1170	1	0.556	11	GGAG/GAGG	GENOMAD.123376.CP	2.898e-11	68	0	0	0	1	NA	NA	NA	PF00285;TIGR01798;COG0372;K01659	citrate synthase I (hexameric type)
s34.ctg000048c_21	21342	22793	1452	1	0.570	11	AGGA	GENOMAD.158450.CP	1.312e-134	437	0	0	0	1	NA	NA	NA	PF19305	MmgE/PrpD C-terminal domain
s34.ctg000048c_22	22833	24719	1887	1	0.584	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_23	25049	26308	1260	1	0.539	11	AGxAGG/AGGxGG	GENOMAD.168680.CP	2.818e-45	173	0	0	0	1	NA	NA	NA	COG1953	Cytosine/uracil/thiamine/allantoin permease
s34.ctg000048c_24	26298	27581	1284	1	0.534	11	GGAGG	GENOMAD.170805.CP	1.387e-20	98	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_25	27918	28817	900	-1	0.550	11	GGA/GAG/AGG	GENOMAD.133355.CP	1.413e-12	71	0	0	0	1	NA	NA	NA	PF03466;PF00126;TIGR03298;K17737;COG0583	transcriptional regulator, ArgP family
s34.ctg000048c_26	28926	29585	660	1	0.573	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_27	29616	30086	471	1	0.505	11	AGGAG	GENOMAD.171805.CP	3.397e-22	95	0	0	0	1	NA	NA	NA	PF18090;TIGR00673;COG5606;K22299	cyanase
s34.ctg000048c_28	30092	31273	1182	1	0.585	11	None	GENOMAD.182337.CP	5.239e-10	64	0	0	0	1	NA	NA	NA	PF06779;K08174;TIGR00890;COG2223	oxalate/formate antiporter family transporter
s34.ctg000048c_29	31376	31981	606	-1	0.429	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_30	32053	33306	1254	-1	0.463	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_31	33358	36339	2982	-1	0.564	11	AGGA	GENOMAD.146053.CP	8.735e-12	72	0	0	0	2561	Caudoviricetes	NA	NA	PF18368;PF02836;PF02837;PF17786;K15855;COG3250	Beta-galactosidase/beta-glucuronidase
s34.ctg000048c_32	36462	37553	1092	-1	0.562	11	GGA/GAG/AGG	GENOMAD.137637.CP	2.018e-05	49	0	0	0	1	NA	NA	NA	PF00532;TIGR01481;COG1609;K02529	catabolite control protein A
s34.ctg000048c_33	37621	38568	948	-1	0.537	11	None	GENOMAD.136831.CP	5.379e-92	305	0	0	0	1	NA	NA	NA	PF01614;PF08279;K05818;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
s34.ctg000048c_34	38645	40309	1665	1	0.570	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_35	40311	41255	945	1	0.578	11	GGA/GAG/AGG	GENOMAD.177346.PC	8.844e-184	570	0	0	0	1	NA	NA	NA	PF02900;K05713;TIGR02298;COG3384	Catalytic LigB subunit of aromatic ring-opening dioxygenase
s34.ctg000048c_36	41273	42139	867	1	0.547	11	AGGAG	GENOMAD.194683.CP	3.788e-08	57	0	0	0	1	NA	NA	NA	PF03096;K05714;TIGR01392;COG2267	homoserine O-acetyltransferase
s34.ctg000048c_37	42149	42958	810	1	0.552	11	AGGA	GENOMAD.154558.PC	2.171e-22	100	0	0	0	1	NA	NA	NA	PF01557;K02554;TIGR03218;COG3971	4-oxalocrotonate decarboxylase
s34.ctg000048c_38	42955	43905	951	1	0.545	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_39	43902	44915	1014	1	0.565	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_40	45493	46704	1212	1	0.574	11	GGAG/GAGG	GENOMAD.182163.CP	2.313e-09	62	0	0	0	1	NA	NA	NF033134	PF06779;TIGR04259;COG2223;K08221	oxalate/formate antiporter
s34.ctg000048c_41	46806	47345	540	1	0.481	11	GGA/GAG/AGG	GENOMAD.161593.CP	4.514e-56	194	0	0	0	1	NA	NA	NA	K09912;COG3122	Uncharacterized conserved protein YaiL, DUF2058 family
s34.ctg000048c_42	47620	48387	768	1	0.536	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_43	48358	49098	741	-1	0.484	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_44	49254	49532	279	-1	0.394	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_45	49535	49795	261	-1	0.467	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_46	50128	50754	627	1	0.528	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_47	50930	51427	498	1	0.448	11	AGGAG	GENOMAD.148198.CP	5.863e-29	115	0	0	0	1	NA	NA	NA	PF01797;COG1943	REP element-mobilizing transposase RayT
s34.ctg000048c_48	51651	53390	1740	-1	0.579	11	None	GENOMAD.136785.CP	1.018e-05	51	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_49	53485	54120	636	1	0.525	11	None	GENOMAD.129556.CP	5.486e-18	85	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_50	54191	55246	1056	1	0.542	11	GGAG/GAGG	GENOMAD.154087.CP	0.0006718	44	0	0	0	1	NA	NA	NA	PF00817;K14161;COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair
s34.ctg000048c_51	55298	55591	294	1	0.422	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_52	55594	55992	399	1	0.436	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_53	56080	56454	375	1	0.445	11	GGA/GAG/AGG	GENOMAD.129331.CV	8.632e-06	46	0	0	0	1	NA	NA	NA	PF12568;K03827;COG2153;TIGR04431	Predicted N-acyltransferase, GNAT family
s34.ctg000048c_54	56760	57026	267	1	0.521	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_55	56995	57495	501	1	0.543	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_56	57552	59009	1458	-1	0.514	11	AGGAG	GENOMAD.133563.CP	1.51e-112	373	0	0	0	2561	Caudoviricetes	NA	NA	PF01546;K01270;TIGR01893;COG0624	Xaa-His dipeptidase
s34.ctg000048c_57	59270	59728	459	1	0.519	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_58	59820	61064	1245	1	0.537	11	GGAGG	GENOMAD.210277.PC	4.049e-295	897	0	0	0	1	NA	NA	NA	PF06500;K11750;COG0657;TIGR03100	Esterase FrsA-like
s34.ctg000048c_59	61122	61523	402	1	0.505	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_60	61562	62617	1056	-1	0.447	11	AGGA	GENOMAD.181610.PC	6.422e-14	76	0	0	0	1	NA	NA	NA	PF00267;K10940;COG3203;TIGR04273	Gram-negative porin
s34.ctg000048c_61	62905	64008	1104	1	0.562	11	GGA/GAG/AGG	GENOMAD.114946.CP	4.946e-06	51	1	0	0	1	NA	NA	NA	PF00696;K00947;TIGR02076;COG0528	uridylate kinase, putative
s34.ctg000048c_62	64020	65273	1254	1	0.543	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_63	65625	65729	105	-1	0.343	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_64	65845	66186	342	-1	0.512	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_65	66207	66524	318	-1	0.569	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_66	66543	66764	222	-1	0.559	11	GGAG/GAGG	GENOMAD.224886.VP	4.628e-09	53	0	0	0	6064	Autographiviridae	NA	NA	PF06174	NA
s34.ctg000048c_67	66773	67249	477	-1	0.585	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_68	67265	67723	459	-1	0.556	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_69	67821	68060	240	-1	0.588	11	AGGAG	GENOMAD.085680.PV	5.833e-39	139	0	0	0	1	NA	NA	NA	PF06006	Bacterial protein of unknown function (DUF905)
s34.ctg000048c_70	68137	68604	468	-1	0.526	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_71	68627	69484	858	-1	0.536	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_72	69701	70522	822	-1	0.578	11	AGGAG	GENOMAD.214654.VP	2.424e-21	97	0	0	0	2561	Caudoviricetes	NA	NA	PF06067;TIGR03299	phage/plasmid-like protein TIGR03299
s34.ctg000048c_73	70614	71477	864	-1	0.568	11	AGGAG	GENOMAD.007256.CC	5.391e-05	47	0	0	0	1	NA	NA	NA	PF00350;TIGR00750;COG3596;K04029	LAO/AO transport system ATPase
s34.ctg000048c_74	71806	72699	894	-1	0.480	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_75	72795	73163	369	1	0.436	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_76	73120	74271	1152	1	0.458	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_77	74533	74772	240	1	0.558	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_78	75364	76509	1146	1	0.545	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_79	76618	77598	981	-1	0.550	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_80	77676	77765	90	1	0.567	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_81	77818	79245	1428	1	0.545	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_82	79232	80164	933	1	0.603	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_83	80273	81319	1047	-1	0.564	11	GGAG/GAGG	GENOMAD.126777.CP	7.8e-05	47	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
s34.ctg000048c_84	81331	81693	363	-1	0.559	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_85	81695	82072	378	-1	0.540	11	None	GENOMAD.111777.PV	3.772e-07	50	0	0	0	1	NA	NA	NA	PF03400	NA
s34.ctg000048c_86	82117	82392	276	-1	0.533	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_87	82541	82879	339	-1	0.451	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_88	82902	83252	351	-1	0.510	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_89	83346	84488	1143	-1	0.622	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_90	84795	85703	909	1	0.616	11	AGGAG	GENOMAD.127112.CP	5.917e-11	66	0	0	0	1	NA	NA	NA	PF00701;COG0329;TIGR02313;K01714	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
s34.ctg000048c_91	85718	87685	1968	1	0.668	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_92	87912	89294	1383	1	0.625	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_93	89306	90916	1611	1	0.644	11	GGAGG	GENOMAD.038650.CC	3.251e-08	59	0	0	0	1	NA	NA	NA	PF03664;COG3940	Beta-xylosidase, GH43 family
s34.ctg000048c_94	90921	91679	759	-1	0.632	11	GGA/GAG/AGG	GENOMAD.123887.CP	5.04e-29	119	0	0	0	1	NA	NA	NA	PF01614;PF14394;K10973;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
s34.ctg000048c_95	91818	92822	1005	-1	0.588	11	GGAG/GAGG	GENOMAD.121924.CP	1.744e-53	194	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_96	93166	93543	378	-1	0.540	11	None	GENOMAD.111777.PV	3.772e-07	50	0	0	0	1	NA	NA	NA	PF03400	NA
s34.ctg000048c_97	93588	93863	276	-1	0.533	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_98	94017	94748	732	1	0.489	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_99	94839	95465	627	-1	0.448	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_100	95737	96435	699	-1	0.373	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_101	96462	97316	855	-1	0.363	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_102	97435	97659	225	-1	0.409	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_103	97656	98096	441	-1	0.435	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_104	98213	99538	1326	-1	0.447	11	GGAG/GAGG	GENOMAD.057544.VV	1.644e-06	53	0	0	0	1	NA	NA	NA	PF00589;TIGR02224;COG4974;K21039	tyrosine recombinase XerC
s34.ctg000048c_105	99898	100308	411	-1	0.526	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_106	100287	101243	957	-1	0.600	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_107	101253	103451	2199	-1	0.594	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_108	103448	104404	957	-1	0.607	11	GGAG/GAGG	GENOMAD.138352.CP	2.561e-35	140	0	0	0	1	NA	NA	NA	PF00941;PF03450;K11178;TIGR03195;COG1319	4-hydroxybenzoyl-CoA reductase, beta subunit
s34.ctg000048c_109	104401	105090	690	-1	0.548	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_110	105508	106122	615	1	0.452	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_111	107012	107722	711	-1	0.530	11	AGGAG	GENOMAD.182372.PC	1.333e-131	415	0	0	0	1	NA	NA	NA	PF18649;PF00345;K21968;COG3121	EcpB C-terminal domain; Pili and flagellar-assembly chaperone, PapD N-terminal domain
s34.ctg000048c_112	107691	109334	1644	-1	0.516	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_113	109324	111849	2526	-1	0.553	11	GGA/GAG/AGG	GENOMAD.192781.PC	0.0	1487	0	0	0	1	NA	NA	NA	K21966;COG3188	Outer membrane usher protein FimD/PapC
s34.ctg000048c_114	111875	112543	669	-1	0.550	11	GGA/GAG/AGG	GENOMAD.146730.PP	8.766e-121	383	0	0	0	1	NA	NA	NA	PF18649;PF00345;K21965;COG3121	EcpB C-terminal domain; Pili and flagellar-assembly chaperone, PapD N-terminal domain
s34.ctg000048c_115	112601	113188	588	-1	0.529	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_116	113263	113805	543	-1	0.390	11	AGGA/GGAG/GAGG	GENOMAD.116421.PP	3.079e-11	64	0	0	0	1	NA	NA	NA	K21963;COG2197;TIGR02154	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains
s34.ctg000048c_117	114891	115031	141	-1	0.418	11	AGxAGG/AGGxGG	GENOMAD.112966.CP	9.647e-12	59	0	0	0	1	NA	NA	NA	PF00444;COG0257;TIGR01022	Ribosomal protein L36
s34.ctg000048c_118	115031	115297	267	-1	0.457	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_119	115658	115759	102	-1	0.284	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_120	116874	121130	4257	1	0.522	11	AGGA	GENOMAD.198291.PC	2.342e-79	295	0	0	0	1	NA	NA	NA	PF11924;K13735	Inverse autotransporter, beta-domain
s34.ctg000048c_121	121155	121313	159	-1	0.340	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_122	121270	122121	852	-1	0.428	11	GGAG/GAGG	GENOMAD.159080.PC	0.0009391	43	0	0	0	1	NA	NA	NA	PF14525;PF12833;K14063;TIGR02297;COG2207	4-hydroxyphenylacetate catabolism regulatory protein HpaA
s34.ctg000048c_123	122711	123304	594	-1	0.449	11	AGGA	GENOMAD.151862.PC	6.394e-78	258	0	0	0	1	NA	NA	NA	PF04224;K21741;COG3059	Uncharacterized membrane protein YkgB
s34.ctg000048c_124	123661	124986	1326	-1	0.456	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_125	125212	126066	855	1	0.512	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_126	126593	127312	720	1	0.506	11	GGAG/GAGG	GENOMAD.117339.CP	3.302e-61	212	0	0	0	1	NA	NA	NA	PF02754;K18928;TIGR03288;COG0247	CoB--CoM heterodisulfide reductase, subunit B
s34.ctg000048c_127	127323	128750	1428	1	0.502	11	GGAG/GAGG	GENOMAD.112794.CP	4.04e-104	348	0	0	0	1	NA	NA	NA	PF02589;PF02754;PF13484;K18929;TIGR00273;COG1139	iron-sulfur cluster-binding protein
s34.ctg000048c_128	128743	129438	696	1	0.522	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_129	129681	130349	669	-1	0.369	11	GGA/GAG/AGG	GENOMAD.076809.PP	1.109e-126	400	0	0	0	1	NA	NA	NA	TIGR01006;COG3944	polysaccharide export protein, MPA1 family, Gram-positive type
